step,train_loss,train_vqa_open,train_vqa_close
0,6.854145050048828,"tensor(0.0005, device='cuda:0')",0
0,6.752585411071777,"tensor(0.0004, device='cuda:0')",0
0,7.182889938354492,"tensor(0.0005, device='cuda:0')",0
0,6.8982110023498535,"tensor(0.0006, device='cuda:0')",0
0,7.0728864669799805,"tensor(0.0006, device='cuda:0')",0
0,7.165660858154297,"tensor(0.0008, device='cuda:0')",0
0,6.744248867034912,"tensor(0.0008, device='cuda:0')",0
0,7.185715198516846,"tensor(0.0007, device='cuda:0')",0
0,6.747705936431885,"tensor(0.0017, device='cuda:0')",0
0,7.0277204513549805,"tensor(0.0015, device='cuda:0')",0
0,7.503932476043701,"tensor(0.0011, device='cuda:0')",0
0,6.5907697677612305,"tensor(0.0010, device='cuda:0')",0
0,7.079122066497803,"tensor(0., device='cuda:0')","tensor(0.0005, device='cuda:0')"
0,7.0890116691589355,"tensor(0.0003, device='cuda:0')","tensor(0.0005, device='cuda:0')"
0,6.98937463760376,"tensor(0.0008, device='cuda:0')","tensor(0.0005, device='cuda:0')"
0,7.105451583862305,"tensor(0.0006, device='cuda:0')","tensor(0.0005, device='cuda:0')"
0,6.906416893005371,"tensor(0.0006, device='cuda:0')","tensor(0.0010, device='cuda:0')"
0,6.8174943923950195,"tensor(0.0005, device='cuda:0')","tensor(0.0010, device='cuda:0')"
0,7.184441566467285,"tensor(0.0004, device='cuda:0')","tensor(0.0010, device='cuda:0')"
0,6.988475799560547,"tensor(0.0004, device='cuda:0')","tensor(0.0008, device='cuda:0')"
0,6.850878715515137,0,"tensor(0.0010, device='cuda:0')"
0,6.910125255584717,0,"tensor(0.0011, device='cuda:0')"
0,6.90963888168335,"tensor(0., device='cuda:0')","tensor(0.0009, device='cuda:0')"
0,6.884032726287842,"tensor(0.0003, device='cuda:0')","tensor(0.0009, device='cuda:0')"
0,7.096624851226807,"tensor(0.0003, device='cuda:0')","tensor(0.0007, device='cuda:0')"
0,6.9624176025390625,"tensor(0.0003, device='cuda:0')","tensor(0.0007, device='cuda:0')"
0,7.145303726196289,"tensor(0.0003, device='cuda:0')","tensor(0.0009, device='cuda:0')"
0,7.001522064208984,"tensor(0.0003, device='cuda:0')","tensor(0.0010, device='cuda:0')"
1,7.117623805999756,"tensor(0.0004, device='cuda:0')","tensor(0.0011, device='cuda:0')"
1,6.8106889724731445,"tensor(0.0004, device='cuda:0')","tensor(0.0011, device='cuda:0')"
1,7.39223575592041,"tensor(0.0003, device='cuda:0')","tensor(0.0011, device='cuda:0')"
1,6.9067912101745605,"tensor(0.0003, device='cuda:0')","tensor(0.0012, device='cuda:0')"
1,7.1973066329956055,"tensor(0.0003, device='cuda:0')","tensor(0.0011, device='cuda:0')"
1,6.865581035614014,"tensor(0.0003, device='cuda:0')","tensor(0.0010, device='cuda:0')"
1,7.392643451690674,"tensor(0.0003, device='cuda:0')","tensor(0.0010, device='cuda:0')"
